Year,Length,stages,Winner_avrspeed,riders,finishers,start_city
1903,"2,428",6,25.679,60,21,Paris
1904,"2,420",6,25.265,88,27,Paris
1905,"2,994",11,27.107,60,24,Paris
1906,"4,545",13,24.463,82,14,Paris
1907,"4,488",14,28.470,93,33,Paris
1908,"4,488",14,28.740,112,36,Paris
1909,"4,497",14,28.658,150,55,Paris
1910,"4,737",15,29.099,110,41,Paris
1911,"5,344",15,27.322,84,28,Paris
1912,"5,289",15,27.763,131,41,Paris
1913,"5,287",15,26.715,140,25,Paris
1914,"5,380",15,26.835,145,54,Paris
1919,"5,560",15,24.056,69,10,Paris
1920,"5,503",15,24.072,113,22,Paris
1921,"5,485",15,24.724,123,38,Paris
1922,"5,375",15,24.196,121,38,Paris
1923,"5,386",15,24.233,139,48,Paris
1924,"5,425",15,24.250,157,60,Paris
1925,"5,440",18,24.820,130,49,Paris
1926,"5,745",17,24.275,126,41,Evian
1927,"5,340",24,27.224,142,39,Paris
1928,"5,476",22,28.400,162,41,Paris
1929,"5,257",22,28.319,155,60,Paris
1930,"4,822",21,28.000,100,59,Paris
1931,"5,091",24,28.735,81,35,Paris
1932,"4,479",21,29.047,80,57,Paris
1933,"4,395",23,29.818,80,40,Paris
1934,"4,470",23,30.360,60,39,Paris
1935,"4,338",21,30.650,93,46,Paris
1936,"4,418",27,31.108,90,43,Paris
1937,"4,415",31,31.768,98,46,Paris
1938,"4,694",27,31.565,96,55,Paris
1939,"4,224",28,31.986,79,49,Paris
1947,"4,640",21,31.412,99,53,Paris
1948,"4,922",21,33.442,120,44,Paris
1949,"4,808",21,32.121,120,55,Paris
1950,"4,773",22,32.778,116,51,Paris
1951,"4,690",24,32.949,123,66,Metz
1952,"4,827",23,32.233,122,78,Brest
1953,"4,476",22,34.593,119,76,Strasbourg
1954,"4,656",23,33.229,110,69,Amsterdam
1955,"4,495",22,34.446,130,69,Le Havre
1956,"4,498",22,36.268,120,88,Reims
1957,"4,665",22,34.520,120,56,Nantes
1958,"4,319",24,36.919,120,78,Brussels
1959,"4,391",22,35.474,120,65,Mulhouse
1960,"4,173",22,37.210,128,81,Lille
1961,"4,397",21,36.033,132,72,Rouen
1962,"4,274",22,37.317,150,94,Nancy
1963,"4,137",21,37.092,130,76,Paris
1964,"4,504",22,35.419,132,81,Rennes
1965,"4,177",22,35.886,130,96,Köln
1966,"4,322",22,36.760,130,82,Nancy
1967,"4,758",22,34.756,130,88,Angers
1968,"4,492",22,33.556,110,88,Vittel
1969,"4,117",22,35.409,130,86,Roubaix
1970,"4,254",23,35.589,150,100,Limoges
1971,"3,608",25,38.084,130,94,Mulhouse
1972,"3,846",20,35.514,132,88,Angers
1973,"4,090",20,33.407,132,87,Scheveningen
1974,"4,098",22,35.241,130,105,Brest
1975,"3,999",22,34.906,140,86,Charleroi
1976,"4,016",22,34.518,130,87,St Jean de Monts
1977,"4,092",22,35.419,100,53,Fleurence
1978,"3,914",22,36.084,110,78,Leiden
1979,"3,720",24,36.513,150,90,Fleurence
1980,"3,946",22,35.144,130,85,Frankfurt
1981,"3,757",24,38.960,150,121,Nice
1982,"3,512",21,38.059,169,125,Basel
1983,"3,962",22,36.230,140,88,Fontenay-sous-Bois
1984,"4,021",23,35.882,170,124,Montreuil
1985,"4,127",22,36.232,180,144,Plumelec
1986,"4,083",23,37.020,210,132,Boulogne Billancourt
1987,"4,231",25,36.645,207,135,West Berlin
1988,"3,286",22,38.909,198,151,Pornichet
1989,"3,285",21,37.487,198,138,Luxembourg
1990,"3,504",21,38.261,198,156,Futuroscope
1991,"3,914",22,38.747,198,158,Lyon
1992,"3,983",21,39.504,198,130,San Sebastian
1993,"3,714",20,38.709,180,136,Le Puy de Fou
1994,"3,978",21,38.383,189,117,Lille
1995,"3,653",20,39.193,189,115,St Brieuc
1996,"3,907",21,39.227,189,129,Hertogenbosch
1997,"3,950",21,39.230,198,139,Rouen
1998,"3,875",21,39.983,189,96,Dublin
1999,"3,686",20,40.273,180,141,Le Puy de Fou
2000,"3,662",21,39.556,180,128,Futuroscope
2001,"3,446",20,40.020,189,144,Dunkirk
2002,"3,282",20,39.930,189,153,Luxembourg
2003,"3,427",20,40.940,189,147,Paris
2004,"3,391",20,40.553,188,147,Liège
2005,"3,608",21,41.654,189,155,Fromentine
2006,"3,657",20,40.781,176,139,Strasbourg
2007,"3,547",20,38.980,189,141,London
2008,"3,559",21,40.500,180,145,Brest
2009,"3,459",21,40.310,180,156,Monaco
2010,"3,641",21,39.585,197,170,Rotterdam
2011,"3,430",21,39.788,198,167,Le Barre de Monts
2012,"3,488",21,39.830,198,153,Liège
2013,"3,403",21,40.545,198,169,Porto Vecchio
2014,"3,659",21,40.662,198,164,Leeds
2015,"3,360",21,39.640,198,160,Utrecht
2016,"3,519",21,39.616,198,198,Mont St Michel
2017,"3,540",21,40.997,198,167,Dusseldorf
2018,"3,349",21,40.210,176,145,Noirmoutier en Ile
